Name,Instructor,Location,Time,Day
Objects & Data Abstraction Lab - 10676 - CSC 245B - 31B,TBA,Block A Building 402,5:00 pm - 7:50 pm,M
Algorithms & Data Structures - 10677 - CSC 310 - 11,TBA,AKSOB 1003,10:00 am - 10:50 am,MWF
Algorithms & Data Structures - 10678 - CSC 310 - 12,Faisal Nabih Abu Khzam (P),AKSOB 0904,1:00 pm - 1:50 pm,MWF
Algorithms & Data Structures - 10679 - CSC 310 - 13,TBA,Nicol Hall 520,1:00 pm - 1:50 pm,MWF
Algorithms & Data Structures - 10680 - CSC 310 - 14,TBA,Nicol Hall 417,12:30 pm - 1:45 pm,TR
Algorithms & Data Structures - 10681 - CSC 310 - 15,TBA,Nicol Hall 502,2:00 pm - 3:15 pm,TR
Algorithms & Data Structures - 10682 - CSC 310 - 31,Danielle Antoine Azar (P),Zakhem Hall 0607,11:00 am - 12:15 pm,TR
Algorithms & Data Structures - 10683 - CSC 310 - 32,Danielle Antoine Azar (P),Science Building 0405,3:30 pm - 4:45 pm,TR
Algorithms & Data Struct. Lab - 10684 - CSC 310B - 11A,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10685 - CSC 310B - 11B,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10686 - CSC 310B - 12A,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10687 - CSC 310B - 12B,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10688 - CSC 310B - 13A,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10689 - CSC 310B - 13B,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10690 - CSC 310B - 14A,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10691 - CSC 310B - 14B,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10692 - CSC 310B - 15A,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10693 - CSC 310B - 15B,TBA,TBA,5:00 pm - 7:59 pm,F
Algorithms & Data Struct. Lab - 10694 - CSC 310B - 31A,TBA,Block A Building 402,5:00 pm - 7:50 pm,W
Algorithms & Data Struct. Lab - 10695 - CSC 310B - 31B,TBA,Block A Building 402,5:00 pm - 7:50 pm,W
Algorithms & Data Struct. Lab - 10696 - CSC 310B - 32A,TBA,Block A Building 402,5:00 pm - 7:50 pm,T
Algorithms & Data Struct. Lab - 10697 - CSC 310B - 32B,TBA,Block A Building 402,5:00 pm - 7:50 pm,T
Computer Organization - 10698 - CSC 320 - 11,TBA,Nicol Hall 502,9:00 am - 9:50 am,MWF
Computer Organization - 10699 - CSC 320 - 12,TBA,Nicol Hall 502,10:00 am - 10:50 am,MWF
Computer Organization Lab - 10700 - CSC 322 - 11,TBA,Sage Hall 301,5:00 pm - 6:59 pm,T
Computer Organization Lab - 10701 - CSC 322 - 12,TBA,Sage Hall 301,2:00 pm - 3:59 pm,F
Operating Systems - 10702 - CSC 326 - 11,Nadine Fawaz Abbas (P),Nicol Hall 503,11:00 am - 11:50 am,MWF
Operating Systems - 10703 - CSC 326 - 12,TBA,Sage Hall 301,3:00 pm - 4:59 pm,M
Operating Systems - 10704 - CSC 326 - 13,Nadine Fawaz Abbas (P),Nicol Hall 304,12:00 pm - 12:50 pm,MWF
Operating Systems - 10705 - CSC 326 - 14,TBA,Sage Hall 301,3:00 pm - 4:59 pm,M
Operating Systems - 10706 - CSC 326 - 31,TBA,AKSOB 1108,2:00 pm - 3:15 pm,TR
Database Management Systems - 10707 - CSC 375 - 11,TBA,Sage Hall 301,3:30 pm - 5:29 pm,T
Database Management Systems - 10708 - CSC 375 - 12,TBA,Nicol Hall 520,12:30 pm - 1:45 pm,TR
Database Management Systems - 10709 - CSC 375 - 13,TBA,Sage Hall 301,3:30 pm - 5:29 pm,T
Database Management Systems - 10710 - CSC 375 - 14,TBA,Zakhem Hall 0502,8:00 am - 9:15 am,TR
Database Management Systems - 10711 - CSC 375 - 31,Ramzi Ahmed Haraty (P),Nicol Hall 502,8:00 am - 8:50 am,MWF
Computer Networks - 10712 - CSC 430 - 11,Ramzi Ahmed Haraty (P),AKSOB 1005,9:00 am - 9:50 am,MWF
Computer Networks - 10713 - CSC 430 - 12,Khaleel Wafiq Mershad (P),Nicol Hall 520,8:00 am - 9:15 am,TR
Computer Networks - 10714 - CSC 430 - 31,Khaleel Wafiq Mershad (P),Nicol Hall 520,9:30 am - 10:45 am,TR
Mobile Applications - 10715 - CSC 431 - 11,Haidar Mohamad Harmanani (P),Science Building 0403,9:30 am - 10:45 am,TR
Mobile Applications - 10716 - CSC 431 - 31,TBA,AKSOB 0904,4:00 pm - 4:50 pm,MWF
Computer Security - 10717 - CSC 435 - 11,TBA,AKSOB 0904,3:30 pm - 4:45 pm,TR
Web Programming - 10718 - CSC 443 - 11,Joseph Toufic Khalifeh (P),Zakhem Hall 0503,3:30 pm - 4:45 pm,TR
Web Programming - 10719 - CSC 443 - 12,TBA,Nicol Hall 520,2:00 pm - 3:15 pm,TR
Web Programming - 10720 - CSC 443 - 31,TBA,Zakhem Hall 0502,1:00 pm - 1:50 pm,MWF
Parallel Progg/Multic.&Cluster - 10721 - CSC 447 - 11,TBA,Nicol Hall 520,3:00 pm - 3:50 pm,MWF
Introduction to Machine Learning - 10722 - CSC 461 - 11,TBA,AKSOB 1003,9:30 am - 10:45 am,TR
Introduction to Data Science - 12233 - CSC 463 - 31,TBA,Nicol Hall 503,12:30 pm - 1:45 pm,TR
Software Engineering - 10724 - CSC 490 - 11,TBA,Frem Civic Center 0506,3:00 pm - 3:50 pm,MWF
Top.CSC: Data Mining - 10725 - CSC 498H - 11,TBA,Nicol Hall 520,10:00 am - 10:50 am,MWF
Topics: Network Science - 10726 - CSC 498HN - 31,TBA,Gezairi Building 1101,3:30 pm - 4:45 pm,TR
Tp:Design& Analysis Algorithm - 12216 - CSC 498HO - 11,Eileen-Marie Salim Hanna (P),Zakhem Hall 0503,12:30 pm - 1:45 pm,TR
Capstone Project - 10727 - CSC 599 - 11,Ramzi Ahmed Haraty (P),Nicol Hall 520,12:00 pm - 12:50 pm,MWF
Capstone Project - 10729 - CSC 599 - 13,Joseph Sami Rebehmed (P),AKSOB 1307,9:00 am - 9:50 am,MWF
Capstone Project - 10730 - CSC 599 - 14,Eileen-Marie Salim Hanna (P),Zakhem Hall 0504,5:00 pm - 7:50 pm,R
Capstone Project - 10731 - CSC 599 - 31,TBA,Nicol Hall 407,5:00 pm - 7:29 pm,M
Capstone Project - 10732 - CSC 599 - 32,TBA,TBA,TBA, 
Capstone Project - 10733 - CSC 599H - 11,TBA,TBA,TBA, 
Capstone Project - 10734 - CSC 599H - 31,TBA,TBA,TBA, 
Graduate Seminar - 10735 - CSC 600 - 11,TBA,TBA,TBA, 
Design&Analysis of Algorithms - 10736 - CSC 611 - 11,TBA,TBA,TBA, 
Pervas.Comp.&Wireless Network - 10737 - CSC 637 - 11,TBA,TBA,TBA, 
Top.CSC:Algo for Phy VLSI Dsgn - 10738 - CSC 688E - 31,TBA,TBA,TBA, 
Topics: Network Science - 10739 - CSC 688O - 31,Faisal Nabih Abu Khzam (P),TBA,TBA, 
Project - 10740 - CSC 698 - 11,TBA,Nicol Hall 407,5:00 pm - 7:29 pm,M
Thesis - 10741 - CSC 699 - 11A,TBA,Nicol Hall 520,5:00 pm - 7:29 pm,W
Thesis - 10742 - CSC 699 - 11B,Haidar Mohamad Harmanani (P),Zakhem Hall 0504,5:00 pm - 7:50 pm,T
Thesis - 10743 - CSC 699 - 11C,Eileen-Marie Salim Hanna (P),Zakhem Hall 0504,5:00 pm - 7:50 pm,R
Thesis - 10744 - CSC 699 - 11D,TBA,TBA,TBA, 
